first_name,last_name,school,year,wins,losses,sp_overall,sp_offense,sp_defense,coach_name
Ken,Niumatalolo,Navy,2012,8,5,-8.1,28.8,36.3,Ken Niumatalolo
Bill,O'Brien,Penn State,2012,8,4,14.1,32.7,17.0,Bill O'Brien
Tom,O'Brien,NC State,2012,7,5,5.4,27.8,21.5,Tom O'Brien
George,O'Leary,UCF,2012,10,4,6.3,32.0,25.6,George O'Leary
Paul,Pasqualoni,UConn,2012,5,7,-0.7,14.5,15.5,Paul Pasqualoni
Gary,Patterson,TCU,2012,7,6,12.9,28.6,17.7,Gary Patterson
Bo,Pelini,Nebraska,2012,10,4,20.3,39.2,19.8,Bo Pelini
Carl,Pelini,Florida Atlantic,2012,3,9,-17.9,18.4,33.6,Carl Pelini
Chris,Petersen,Boise State,2012,11,2,13.4,32.2,17.7,Chris Petersen
Joker,Phillips,Kentucky,2012,2,10,-8.7,22.3,29.8,Joker Phillips
Gary,Pinkel,Missouri,2012,5,7,3.9,25.6,21.6,Gary Pinkel
Mike,Price,UTEP,2012,3,9,-16.1,21.1,36.6,Mike Price
Jeff,Quinn,Buffalo,2012,4,8,-16.3,14.2,29.4,Jeff Quinn
Paul,Rhoads,Iowa State,2012,6,7,4.4,26.5,23.6,Paul Rhoads
Mark,Richt,Georgia,2012,12,2,28.0,44.9,16.6,Mark Richt
Mike,Riley,Oregon State,2012,9,4,16.4,33.2,19.0,Mike Riley
Rich,Rodriguez,Arizona,2012,8,5,8.2,40.7,31.5,Rich Rodriguez
Nick,Saban,Alabama,2012,13,1,36.5,45.7,10.7,Nick Saban
Steve,Sarkisian,Washington,2012,7,6,6.1,27.7,20.0,Steve Sarkisian
David,Shaw,Stanford,2012,12,2,15.3,29.2,14.2,David Shaw
John,Smith,Arkansas,2012,4,8,11.6,36.5,24.8,John Smith
Bill,Snyder,Kansas State,2012,11,2,22.7,41.8,20.4,Bill Snyder
Frank,Solich,Ohio,2012,9,4,-8.0,23.8,32.1,Frank Solich
Frank,Spaziani,Boston College,2012,2,10,-2.8,23.6,27.3,Frank Spaziani
Steve,Spurrier,South Carolina,2012,11,2,16.1,33.2,15.5,Steve Spurrier
Rick,Stockstill,Middle Tennessee,2012,8,4,-7.5,27.7,34.4,Rick Stockstill
Bob,Stoops,Oklahoma,2012,10,3,28.5,46.0,19.9,Bob Stoops
Charlie,Strong,Louisville,2012,11,2,10.5,35.7,24.2,Charlie Strong
Kevin,Sumlin,Texas A&M,2012,11,2,28.8,44.7,16.0,Kevin Sumlin
Dabo,Swinney,Clemson,2012,11,2,18.5,41.5,24.1,Dabo Swinney
Willie,Taggart,Western Kentucky,2012,7,5,-4.7,26.1,28.9,Willie Taggart
Jeff,Tedford,California,2012,3,9,5.3,31.3,25.8,Jeff Tedford
Don,Treadwell,Miami (OH),2012,4,8,-16.2,22.7,39.4,Don Treadwell
Tommy,Tuberville,Texas Tech,2012,7,5,17.0,44.1,26.5,Tommy Tuberville
DeWayne,Walker,New Mexico State,2012,1,11,-33.3,14.5,46.1,DeWayne Walker
Charlie,Weis,Kansas,2012,1,11,-12.6,23.5,34.1,Charlie Weis
Kyle,Whittingham,Utah,2012,5,7,3.8,24.4,21.3,Kyle Whittingham
Kevin,Wilson,Indiana,2012,4,8,-4.6,30.5,35.1,Kevin Wilson
Steve,Addazio,Boston College,2013,7,6,7.1,32.0,27.0,Steve Addazio
Gary,Andersen,Wisconsin,2013,9,4,22.4,39.5,15.6,Gary Andersen
David,Bailiff,Rice,2013,10,4,-1.5,24.0,26.1,David Bailiff
Mike,Bath,Miami (OH),2013,0,7,-29.0,10.2,38.8,Mike Bath
Frank,Beamer,Virginia Tech,2013,8,5,14.9,26.0,9.6,Frank Beamer
Tim,Beckman,Illinois,2013,4,8,-4.0,34.2,36.8,Tim Beckman
Todd,Berry,UL Monroe,2013,6,6,-26.2,13.4,38.1,Todd Berry
Bret,Bielema,Arkansas,2013,3,9,1.5,30.0,30.6,Bret Bielema
Larry,Blakeney,Troy,2013,6,6,-14.5,29.1,43.8,Larry Blakeney
Bill,Blankenship,Tulsa,2013,3,9,-18.7,12.9,31.6,Bill Blankenship
Terry,Bowden,Akron,2013,5,7,-15.3,17.9,30.9,Terry Bowden
Art,Briles,Baylor,2013,11,2,20.4,41.0,21.0,Art Briles
Mack,Brown,Texas,2013,8,5,10.5,29.4,20.1,Mack Brown
Troy,Calhoun,Air Force,2013,2,10,-16.9,26.6,45.2,Troy Calhoun
Matt,Campbell,Toledo,2013,7,5,4.7,35.8,33.4,Matt Campbell
Ron,Caragher,San José State,2013,6,6,-5.1,33.0,38.6,Ron Caragher
Rod,Carey,Northern Illinois,2013,12,2,6.3,36.6,29.8,Rod Carey
Norm,Chow,Hawai'i,2013,1,11,-14.3,23.4,35.6,Norm Chow
Dave,Christensen,Wyoming,2013,5,7,-15.3,26.7,39.1,Dave Christensen
Paul,Chryst,Pittsburgh,2013,7,6,9.4,32.9,22.3,Paul Chryst
Dave,Clawson,Bowling Green,2013,10,4,9.8,33.8,24.6,Dave Clawson
Larry,Coker,UTSA,2013,7,5,-6.6,25.9,30.3,Larry Coker
David,Cutcliffe,Duke,2013,10,4,5.0,32.0,27.2,David Cutcliffe
Mark,Dantonio,Michigan State,2013,13,1,19.7,28.9,11.6,Mark Dantonio
Bob,Davie,New Mexico,2013,3,9,-14.9,30.9,45.9,Bob Davie
Tim,DeRuyter,Fresno State,2013,11,2,8.8,36.1,26.7,Tim DeRuyter
Dave,Doeren,NC State,2013,3,9,-0.5,25.0,26.5,Dave Doeren
Sonny,Dykes,California,2013,1,11,-8.7,27.7,37.1,Sonny Dykes
Randy,Edsall,Maryland,2013,7,6,10.8,29.6,19.8,Randy Edsall
Rich,Ellerson,Army,2013,3,9,-24.6,20.8,44.5,Rich Ellerson
Ron,English,Eastern Michigan,2013,1,8,-35.7,17.8,50.4,Ron English
Dan,Enos,Central Michigan,2013,6,6,-18.8,19.7,37.6,Dan Enos
Larry,Fedora,North Carolina,2013,7,6,13.7,34.2,21.4,Larry Fedora
Kirk,Ferentz,Iowa,2013,8,5,17.3,29.6,12.4,Kirk Ferentz
Jimbo,Fisher,Florida State,2013,14,0,38.5,47.7,11.5,Jimbo Fisher
Pat,Fitzgerald,Northwestern,2013,5,7,4.2,29.4,25.9,Pat Fitzgerald
P.J.,Fleck,Western Michigan,2013,1,11,-25.5,13.9,38.5,P.J. Fleck
Kyle,Flood,Rutgers,2013,6,7,-8.1,24.0,31.6,Kyle Flood
Dennis,Franchione,Texas State,2013,6,6,-13.7,17.1,31.4,Dennis Franchione
James,Franklin,Vanderbilt,2013,9,4,7.5,29.1,22.2,James Franklin
Hugh,Freeze,Ole Miss,2013,8,5,12.4,36.6,23.2,Hugh Freeze
Justin,Fuente,Memphis,2013,3,9,-3.2,18.0,24.3,Justin Fuente
Al,Golden,Miami,2013,9,4,16.9,39.8,24.0,Al Golden
Todd,Graham,Arizona State,2013,10,4,17.5,40.0,22.0,Todd Graham
Jim,Grobe,Wake Forest,2013,4,8,-2.8,19.4,21.3,Jim Grobe
Mike,Gundy,Oklahoma State,2013,10,3,21.8,36.8,14.0,Mike Gundy
Bryan,Harsin,Arkansas State,2013,7,5,-16.2,20.8,37.9,Bryan Harsin
Bobby,Hauck,UNLV,2013,7,6,-10.1,26.8,34.2,Bobby Hauck
Paul,Haynes,Kent State,2013,4,8,-13.8,21.2,34.0,Paul Haynes
Darrell,Hazell,Purdue,2013,1,11,-15.7,19.2,33.4,Darrell Hazell
Mark,Helfrich,Oregon,2013,11,2,28.7,46.8,18.1,Mark Helfrich
Clay,Helton,USC,2013,1,0,22.5,36.6,12.5,Clay Helton
Brady,Hoke,Michigan,2013,7,6,11.1,31.2,20.2,Brady Hoke
Dana,Holgorsen,West Virginia,2013,4,8,-0.9,25.9,27.2,Dana Holgorsen
Doc,Holliday,Marshall,2013,10,4,8.3,33.4,25.5,Doc Holliday
Skip,Holtz,Louisiana Tech,2013,4,8,-16.8,14.2,31.3,Skip Holtz
Mark,Hudspeth,Louisiana,2013,9,4,-12.5,26.2,38.2,Mark Hudspeth
Curtis,Johnson,Tulane,2013,7,6,-8.0,15.6,24.1,Curtis Johnson
Paul,Johnson,Georgia Tech,2013,7,6,11.4,35.3,24.9,Paul Johnson
Butch,Jones,Tennessee,2013,5,7,5.1,29.2,26.1,Butch Jones
Joey,Jones,South Alabama,2013,6,6,-10.2,25.2,34.3,Joey Jones
June,Jones,SMU,2013,5,7,-15.2,21.8,36.2,June Jones
Brian,Kelly,Notre Dame,2013,9,4,13.2,35.2,21.9,Brian Kelly
Lane,Kiffin,USC,2013,3,2,22.5,36.6,12.5,Lane Kiffin
Jerry,Kill,Minnesota,2013,8,5,2.5,25.6,25.0,Jerry Kill
Kliff,Kingsbury,Texas Tech,2013,8,5,14.0,37.9,24.1,Kliff Kingsbury
Sean,Kugler,UTEP,2013,2,10,-28.9,19.0,45.6,Sean Kugler
Mike,Leach,Washington State,2013,6,7,8.2,33.6,26.3,Mike Leach
Pete,Lembo,Ball State,2013,10,3,7.5,38.3,31.3,Pete Lembo
Tony,Levine,Houston,2013,8,5,4.9,29.4,25.4,Tony Levine
Mike,London,Virginia,2013,2,10,-5.2,21.3,26.5,Mike London
Rocky,Long,San Diego State,2013,8,5,-4.8,26.9,29.9,Rocky Long
Mike,MacIntyre,Colorado,2013,4,8,-0.7,28.0,28.3,Mike MacIntyre
Gus,Malzahn,Auburn,2013,12,2,25.2,46.8,23.4,Gus Malzahn
Doug,Martin,New Mexico State,2013,2,10,-35.1,17.7,52.4,Doug Martin
Dan,McCarney,North Texas,2013,9,4,1.0,25.1,23.1,Dan McCarney
Jim,McElwain,Colorado State,2013,8,6,3.0,31.8,29.5,Jim McElwain
Garrick,McGee,UAB,2013,2,10,-20.8,24.1,46.5,Garrick McGee
Ruffin,McNeill,East Carolina,2013,10,3,7.5,33.3,23.8,Ruffin McNeill
Bronco,Mendenhall,BYU,2013,8,5,10.0,28.3,18.9,Bronco Mendenhall
Urban,Meyer,Ohio State,2013,12,2,28.4,48.8,23.4,Urban Meyer
Les,Miles,LSU,2013,10,3,28.7,45.2,18.7,Les Miles
Trent,Miles,Georgia State,2013,0,12,-32.6,13.3,44.4,Trent Miles
Charley,Molnar,Massachusetts,2013,1,11,-36.1,6.4,40.7,Charley Molnar
Todd,Monken,Southern Miss,2013,1,11,-24.5,13.6,36.5,Todd Monken
Jim,Mora,UCLA,2013,10,3,20.0,39.0,20.4,Jim Mora
Dan,Mullen,Mississippi State,2013,7,6,10.7,34.6,22.2,Dan Mullen
Will,Muschamp,Florida,2013,4,8,9.0,25.8,15.9,Will Muschamp
Ken,Niumatalolo,Navy,2013,9,4,-0.3,33.4,33.5,Ken Niumatalolo
Bill,O'Brien,Penn State,2013,7,5,8.9,31.6,21.6,Bill O'Brien
George,O'Leary,UCF,2013,12,1,12.3,38.4,27.4,George O'Leary
Ed,Orgeron,USC,2013,6,2,22.5,36.6,12.5,Ed Orgeron
Stan,Parrish,Eastern Michigan,2013,1,2,-35.7,17.8,50.4,Stan Parrish
Paul,Pasqualoni,UConn,2013,0,4,-13.2,15.9,26.8,Paul Pasqualoni
Gary,Patterson,TCU,2013,4,8,12.4,24.9,15.0,Gary Patterson
Bo,Pelini,Nebraska,2013,9,4,11.6,32.3,22.8,Bo Pelini
Carl,Pelini,Florida Atlantic,2013,2,6,-6.6,18.9,25.0,Carl Pelini
Chris,Petersen,Boise State,2013,8,4,11.3,35.0,25.6,Chris Petersen
Bobby,Petrino,Western Kentucky,2013,8,4,-3.1,30.5,33.5,Bobby Petrino
Paul,Petrino,Idaho,2013,1,11,-35.6,13.6,48.4,Paul Petrino
Gary,Pinkel,Missouri,2013,12,2,19.3,42.6,23.1,Gary Pinkel
Brian,Polian,Nevada,2013,4,8,-16.8,25.7,42.6,Brian Polian
Jeff,Quinn,Buffalo,2013,8,5,-9.0,22.3,30.4,Jeff Quinn
Paul,Rhoads,Iowa State,2013,3,9,-3.8,25.7,29.7,Paul Rhoads
Matt,Rhule,Temple,2013,2,10,-10.7,27.6,37.0,Matt Rhule
Mark,Richt,Georgia,2013,8,5,25.1,44.9,21.8,Mark Richt
Mike,Riley,Oregon State,2013,7,6,11.9,38.0,26.6,Mike Riley
Rich,Rodriguez,Arizona,2013,8,5,14.6,37.2,21.1,Rich Rodriguez
Nick,Saban,Alabama,2013,11,2,34.1,45.6,12.3,Nick Saban
Steve,Sarkisian,Washington,2013,8,4,20.5,37.6,18.3,Steve Sarkisian
Scott,Shafer,Syracuse,2013,6,6,0.0,25.9,23.2,Scott Shafer
David,Shaw,Stanford,2013,11,3,21.7,35.8,15.5,David Shaw
Bill,Snyder,Kansas State,2013,8,5,21.7,40.4,20.0,Bill Snyder
Frank,Solich,Ohio,2013,7,6,-11.4,22.5,33.5,Frank Solich
Steve,Spurrier,South Carolina,2013,11,2,19.8,40.7,20.6,Steve Spurrier
Rick,Stockstill,Middle Tennessee,2013,8,5,-11.8,23.3,34.2,Rick Stockstill
Bob,Stoops,Oklahoma,2013,11,2,19.6,36.2,18.3,Bob Stoops
Mark,Stoops,Kentucky,2013,2,10,-2.5,27.6,31.2,Mark Stoops
Charlie,Strong,Louisville,2013,12,1,24.2,39.1,15.2,Charlie Strong
Kevin,Sumlin,Texas A&M,2013,9,4,20.4,50.5,31.3,Kevin Sumlin
Dabo,Swinney,Clemson,2013,11,2,24.5,42.4,19.6,Dabo Swinney
Willie,Taggart,South Florida,2013,2,10,-15.5,10.8,27.2,Willie Taggart
Don,Treadwell,Miami (OH),2013,0,5,-29.0,10.2,38.8,Don Treadwell
Tommy,Tuberville,Cincinnati,2013,9,4,7.8,31.9,21.6,Tommy Tuberville
Marques,Tuiasosopo,Washington,2013,1,0,20.5,37.6,18.3,Marques Tuiasosopo
Ron,Turner,Florida International,2013,1,11,-38.9,6.4,43.4,Ron Turner
Charlie,Weis,Kansas,2013,3,9,-9.7,16.0,25.3,Charlie Weis
Matt,Wells,Utah State,2013,9,5,4.2,23.3,19.5,Matt Wells
Kyle,Whittingham,Utah,2013,5,7,11.8,30.1,19.9,Kyle Whittingham
Kevin,Wilson,Indiana,2013,5,7,1.4,37.1,35.9,Kevin Wilson
Brian,Wright,Florida Atlantic,2013,4,0,-6.6,18.9,25.0,Brian Wright
Steve,Addazio,Boston College,2014,7,6,4.9,28.7,23.7,Steve Addazio
Barry,Alvarez,Wisconsin,2014,1,0,20.8,38.7,18.1,Barry Alvarez
Gary,Andersen,Wisconsin,2014,10,3,20.8,38.7,18.1,Gary Andersen
Blake,Anderson,Arkansas State,2014,7,6,-0.3,31.5,31.6,Blake Anderson
Dino,Babers,Bowling Green,2014,8,6,-5.4,27.7,33.5,Dino Babers
David,Bailiff,Rice,2014,8,5,-3.1,27.9,29.8,David Bailiff
Frank,Beamer,Virginia Tech,2014,7,6,7.8,25.7,17.2,Frank Beamer
Tim,Beckman,Illinois,2014,6,7,0.4,28.3,27.9,Tim Beckman
Todd,Berry,UL Monroe,2014,4,8,-10.0,18.4,28.8,Todd Berry
Bret,Bielema,Arkansas,2014,7,6,12.2,32.4,19.4,Bret Bielema
Larry,Blakeney,Troy,2014,3,9,-15.9,22.4,37.5,Larry Blakeney
Bill,Blankenship,Tulsa,2014,2,10,-15.8,23.6,37.7,Bill Blankenship
Craig,Bohl,Wyoming,2014,4,8,-14.0,20.0,34.1,Craig Bohl
Terry,Bowden,Akron,2014,5,7,-9.4,18.9,28.1,Terry Bowden
Art,Briles,Baylor,2014,11,2,23.9,43.0,19.5,Art Briles
Jeff,Brohm,Western Kentucky,2014,8,5,-2.6,40.1,41.6,Jeff Brohm
Troy,Calhoun,Air Force,2014,10,3,-1.4,26.2,29.5,Troy Calhoun
Matt,Campbell,Toledo,2014,9,4,2.3,38.0,35.2,Matt Campbell
Ron,Caragher,San José State,2014,3,9,-11.5,22.1,30.5,Ron Caragher
Rod,Carey,Northern Illinois,2014,11,3,-0.6,29.8,29.6,Rod Carey
Norm,Chow,Hawai'i,2014,4,9,-15.0,15.7,30.6,Norm Chow
Paul,Chryst,Pittsburgh,2014,6,6,14.1,37.4,25.3,Paul Chryst
Bill,Clark,UAB,2014,6,6,-4.2,26.0,32.8,Bill Clark
Dave,Clawson,Wake Forest,2014,3,9,-7.8,13.1,22.6,Dave Clawson
Larry,Coker,UTSA,2014,4,8,-3.4,16.6,22.1,Larry Coker
Chris,Creighton,Eastern Michigan,2014,2,10,-25.9,17.8,42.7,Chris Creighton
David,Cutcliffe,Duke,2014,9,4,7.0,29.6,25.1,David Cutcliffe
Mark,Dantonio,Michigan State,2014,11,2,24.1,42.5,17.9,Mark Dantonio
Bob,Davie,New Mexico,2014,4,8,-15.0,28.4,42.4,Bob Davie
Tim,DeRuyter,Fresno State,2014,6,8,-6.9,24.5,31.0,Tim DeRuyter
Bob,Diaco,UConn,2014,2,12,-14.1,14.6,27.7,Bob Diaco
Dave,Doeren,NC State,2014,8,5,8.1,34.1,27.1,Dave Doeren
D.J.,Durkin,Florida,2014,1,0,17.3,29.8,14.1,D.J. Durkin
Sonny,Dykes,California,2014,5,7,-0.6,36.6,36.3,Sonny Dykes
Randy,Edsall,Maryland,2014,7,6,5.7,30.4,26.1,Randy Edsall
Dan,Enos,Central Michigan,2014,7,6,-5.2,26.1,30.2,Dan Enos
Larry,Fedora,North Carolina,2014,6,7,0.0,35.8,35.1,Larry Fedora
Kirk,Ferentz,Iowa,2014,7,6,6.8,32.5,24.2,Kirk Ferentz
Jimbo,Fisher,Florida State,2014,13,1,28.5,45.0,18.9,Jimbo Fisher
Pat,Fitzgerald,Northwestern,2014,5,7,1.5,23.7,21.6,Pat Fitzgerald
P.J.,Fleck,Western Michigan,2014,8,5,-0.8,30.2,31.8,P.J. Fleck
Kyle,Flood,Rutgers,2014,8,5,-1.5,32.0,33.1,Kyle Flood
Dennis,Franchione,Texas State,2014,7,5,-7.4,27.9,35.3,Dennis Franchione
James,Franklin,Penn State,2014,7,6,9.2,20.6,11.0,James Franklin
Hugh,Freeze,Ole Miss,2014,9,4,20.7,35.4,14.4,Hugh Freeze
Willie,Fritz,Georgia Southern,2014,9,3,-2.4,32.0,33.4,Willie Fritz
Justin,Fuente,Memphis,2014,10,3,5.6,26.5,22.0,Justin Fuente
David,Gibbs,Houston,2014,1,0,5.4,30.4,23.6,David Gibbs
Al,Golden,Miami,2014,6,7,13.9,35.0,21.3,Al Golden
Todd,Graham,Arizona State,2014,10,3,13.5,36.1,23.3,Todd Graham
Mike,Gundy,Oklahoma State,2014,7,6,8.6,32.0,24.0,Mike Gundy
Bryan,Harsin,Boise State,2014,12,2,11.6,36.6,24.7,Bryan Harsin
Bobby,Hauck,UNLV,2014,2,11,-17.6,22.0,39.1,Bobby Hauck
Paul,Haynes,Kent State,2014,2,9,-13.7,16.7,29.5,Paul Haynes
Darrell,Hazell,Purdue,2014,3,9,-6.2,22.7,30.2,Darrell Hazell
Mark,Helfrich,Oregon,2014,13,2,24.7,48.1,23.2,Mark Helfrich
Brady,Hoke,Michigan,2014,5,7,8.2,27.0,19.0,Brady Hoke
Dana,Holgorsen,West Virginia,2014,7,6,8.4,31.3,24.3,Dana Holgorsen
Doc,Holliday,Marshall,2014,13,1,16.8,38.4,23.1,Doc Holliday
Skip,Holtz,Louisiana Tech,2014,9,5,-1.7,27.0,27.5,Skip Holtz
Mark,Hudspeth,Louisiana,2014,9,4,2.2,30.0,29.3,Mark Hudspeth
Curtis,Johnson,Tulane,2014,3,9,-15.0,16.2,28.0,Curtis Johnson
Paul,Johnson,Georgia Tech,2014,11,3,11.2,44.1,32.0,Paul Johnson
Butch,Jones,Tennessee,2014,7,6,12.2,31.0,19.9,Butch Jones
Joey,Jones,South Alabama,2014,6,7,-4.3,23.4,28.3,Joey Jones
June,Jones,SMU,2014,0,2,-21.2,16.6,34.9,June Jones
Brian,Kelly,Notre Dame,2014,8,5,10.8,37.5,26.0,Brian Kelly
Jerry,Kill,Minnesota,2014,8,5,6.8,29.7,24.3,Jerry Kill
Kliff,Kingsbury,Texas Tech,2014,4,8,4.9,39.9,35.3,Kliff Kingsbury
Sean,Kugler,UTEP,2014,7,6,-12.0,23.5,35.4,Sean Kugler
Mike,Leach,Washington State,2014,3,9,-1.7,33.0,32.8,Mike Leach
Pete,Lembo,Ball State,2014,5,7,-6.6,25.6,33.9,Pete Lembo
Tony,Levine,Houston,2014,7,5,5.4,30.4,23.6,Tony Levine
Mike,London,Virginia,2014,5,7,4.0,23.5,20.4,Mike London
Rocky,Long,San Diego State,2014,7,6,1.0,25.1,24.6,Rocky Long
Mike,MacIntyre,Colorado,2014,2,10,-5.0,32.5,38.9,Mike MacIntyre
Gus,Malzahn,Auburn,2014,8,5,24.2,45.2,22.1,Gus Malzahn
Chuck,Martin,Miami (OH),2014,2,10,-18.7,21.5,37.9,Chuck Martin
Doug,Martin,New Mexico State,2014,2,10,-23.3,23.0,43.3,Doug Martin
Derek,Mason,Vanderbilt,2014,3,9,-4.3,22.0,25.3,Derek Mason
Dan,McCarney,North Texas,2014,4,8,-9.4,20.2,31.2,Dan McCarney
Jim,McElwain,Colorado State,2014,10,2,4.5,33.2,29.2,Jim McElwain
Ruffin,McNeill,East Carolina,2014,8,5,8.5,34.7,24.6,Ruffin McNeill
Bronco,Mendenhall,BYU,2014,8,5,10.2,33.1,24.1,Bronco Mendenhall
Urban,Meyer,Ohio State,2014,14,1,25.8,45.6,20.1,Urban Meyer
Les,Miles,LSU,2014,8,5,21.5,34.2,13.3,Les Miles
Trent,Miles,Georgia State,2014,1,11,-22.8,22.8,45.9,Trent Miles
Jeff,Monken,Army,2014,4,8,-16.9,25.2,40.9,Jeff Monken
Todd,Monken,Southern Miss,2014,3,9,-15.9,19.0,34.8,Todd Monken
Jim,Mora,UCLA,2014,10,3,17.7,39.9,23.0,Jim Mora
Dan,Mullen,Mississippi State,2014,10,3,22.2,43.2,20.7,Dan Mullen
Will,Muschamp,Florida,2014,6,5,17.3,29.8,14.1,Will Muschamp
Ken,Niumatalolo,Navy,2014,8,5,3.4,36.5,32.5,Ken Niumatalolo
George,O'Leary,UCF,2014,9,4,5.7,25.8,19.7,George O'Leary
Charlie,Partridge,Florida Atlantic,2014,3,9,-10.4,25.2,34.9,Charlie Partridge
Gary,Patterson,TCU,2014,12,1,23.3,39.3,17.5,Gary Patterson
Bo,Pelini,Nebraska,2014,9,3,13.1,33.8,21.0,Bo Pelini
Chris,Petersen,Washington,2014,8,6,7.8,28.5,21.8,Chris Petersen
Bobby,Petrino,Louisville,2014,9,4,17.0,34.0,16.7,Bobby Petrino
Paul,Petrino,Idaho,2014,1,10,-17.4,24.6,41.4,Paul Petrino
Gary,Pinkel,Missouri,2014,11,3,19.3,33.0,15.2,Gary Pinkel
Brian,Polian,Nevada,2014,7,6,-7.3,26.7,33.7,Brian Polian
Jeff,Quinn,Buffalo,2014,3,4,-7.7,27.1,33.5,Jeff Quinn
Paul,Rhoads,Iowa State,2014,2,10,-7.9,21.7,30.2,Paul Rhoads
Matt,Rhule,Temple,2014,6,6,-4.7,15.8,18.9,Matt Rhule
Mark,Richt,Georgia,2014,10,3,27.6,44.2,16.8,Mark Richt
Mike,Riley,Oregon State,2014,5,7,3.2,30.3,27.9,Mike Riley
Rich,Rodriguez,Arizona,2014,10,4,7.6,33.4,25.7,Rich Rodriguez
Nick,Saban,Alabama,2014,12,2,34.3,44.5,10.7,Nick Saban
Steve,Sarkisian,USC,2014,9,4,17.1,38.8,22.5,Steve Sarkisian
Scott,Satterfield,App State,2014,7,5,-8.3,26.2,32.0,Scott Satterfield
Scott,Shafer,Syracuse,2014,3,9,-2.1,18.8,20.9,Scott Shafer
David,Shaw,Stanford,2014,8,5,21.4,33.5,12.0,David Shaw
Bill,Snyder,Kansas State,2014,9,4,16.3,37.7,23.2,Bill Snyder
Frank,Solich,Ohio,2014,6,6,-11.7,17.8,28.2,Frank Solich
Steve,Spurrier,South Carolina,2014,7,6,17.4,43.6,26.5,Steve Spurrier
Rick,Stockstill,Middle Tennessee,2014,6,6,-8.7,29.6,36.5,Rick Stockstill
Bob,Stoops,Oklahoma,2014,8,5,19.2,39.9,22.2,Bob Stoops
Mark,Stoops,Kentucky,2014,5,7,6.6,29.8,24.8,Mark Stoops
Charlie,Strong,Texas,2014,6,7,9.0,26.0,17.2,Charlie Strong
Kevin,Sumlin,Texas A&M,2014,8,5,20.2,43.6,26.3,Kevin Sumlin
Dabo,Swinney,Clemson,2014,10,3,18.1,29.0,11.6,Dabo Swinney
Willie,Taggart,South Florida,2014,4,8,-11.8,19.0,32.3,Willie Taggart
Tommy,Tuberville,Cincinnati,2014,9,4,6.9,36.3,29.8,Tommy Tuberville
Ron,Turner,Florida International,2014,4,8,-16.2,15.0,30.3,Ron Turner
Charlie,Weis,Kansas,2014,2,2,-9.8,21.1,29.1,Charlie Weis
Matt,Wells,Utah State,2014,10,4,6.0,25.2,18.6,Matt Wells
Mark,Whipple,Massachusetts,2014,3,9,-20.2,22.6,39.9,Mark Whipple
Kyle,Whittingham,Utah,2014,9,4,8.8,29.1,23.0,Kyle Whittingham
Bobby,Wilder,Old Dominion,2014,6,6,-12.7,32.8,43.3,Bobby Wilder
Kevin,Wilson,Indiana,2014,4,8,1.8,30.1,27.8,Kevin Wilson
Alex,Wood,Buffalo,2014,2,2,-7.7,27.1,33.5,Alex Wood
Steve,Addazio,Boston College,2015,3,9,4.7,18.0,12.5,Steve Addazio
Gary,Andersen,Oregon State,2015,2,10,-10.1,25.9,35.3,Gary Andersen
Blake,Anderson,Arkansas State,2015,9,4,0.5,30.9,28.4,Blake Anderson
Dino,Babers,Bowling Green,2015,10,3,7.5,39.4,32.1,Dino Babers
David,Bailiff,Rice,2015,5,7,-14.6,24.0,37.9,David Bailiff
Frank,Beamer,Virginia Tech,2015,7,6,11.4,30.8,19.7,Frank Beamer
David,Beaty,Kansas,2015,0,12,-21.3,20.2,40.6,David Beaty
Todd,Berry,UL Monroe,2015,2,11,-14.7,18.4,32.9,Todd Berry
Bret,Bielema,Arkansas,2015,8,5,19.2,46.6,28.0,Bret Bielema
Mike,Bobo,Colorado State,2015,7,6,0.5,29.4,30.2,Mike Bobo
Craig,Bohl,Wyoming,2015,2,10,-16.7,22.9,39.7,Craig Bohl
John,Bonamego,Central Michigan,2015,7,6,-3.1,26.4,27.2,John Bonamego
Terry,Bowden,Akron,2015,8,5,-0.8,24.8,25.9,Terry Bowden
Art,Briles,Baylor,2015,10,3,19.5,45.1,24.1,Art Briles
Jeff,Brohm,Western Kentucky,2015,12,2,10.8,40.1,29.8,Jeff Brohm
Neal,Brown,Troy,2015,4,8,-7.0,24.5,31.9,Neal Brown
Troy,Calhoun,Air Force,2015,8,6,4.7,32.6,29.2,Troy Calhoun
Matt,Campbell,Toledo,2015,9,2,7.7,30.4,21.8,Matt Campbell
Jason,Candle,Toledo,2015,1,0,7.7,30.4,21.8,Jason Candle
Ron,Caragher,San José State,2015,6,7,-4.5,26.8,32.0,Ron Caragher
Rod,Carey,Northern Illinois,2015,8,6,-0.9,26.1,25.4,Rod Carey
Norm,Chow,Hawai'i,2015,2,7,-16.3,16.6,35.1,Norm Chow
Paul,Chryst,Wisconsin,2015,10,3,15.1,27.0,12.4,Paul Chryst
Tracy,Claeys,Minnesota,2015,2,4,8.1,28.1,22.4,Tracy Claeys
Dave,Clawson,Wake Forest,2015,3,9,-4.5,19.8,25.2,Dave Clawson
Larry,Coker,UTSA,2015,3,9,-17.7,19.3,36.6,Larry Coker
Chris,Creighton,Eastern Michigan,2015,1,11,-19.7,25.6,45.5,Chris Creighton
Bill,Cubit,Illinois,2015,5,7,2.7,22.7,20.2,Bill Cubit
