first_name,last_name,school,year,wins,losses,sp_overall,sp_offense,sp_defense,coach_name
Randy,Shannon,Miami,2010,7,5,21.6,34.9,14.0,Randy Shannon
Mike,Sherman,Texas A&M,2010,9,4,13.8,32.0,17.9,Mike Sherman
Bill,Snyder,Kansas State,2010,7,6,8.6,34.4,27.4,Bill Snyder
Frank,Solich,Ohio,2010,8,5,-6.6,21.0,29.0,Frank Solich
Frank,Spaziani,Boston College,2010,7,6,7.1,19.9,13.5,Frank Spaziani
Steve,Spurrier,South Carolina,2010,9,5,20.3,38.6,19.0,Steve Spurrier
Bill,Stewart,West Virginia,2010,9,4,16.2,26.9,9.6,Bill Stewart
Rick,Stockstill,Middle Tennessee,2010,6,7,-12.5,19.4,32.8,Rick Stockstill
Bob,Stoops,Oklahoma,2010,12,2,23.5,37.8,15.9,Bob Stoops
Mike,Stoops,Arizona,2010,7,6,14.8,34.5,19.4,Mike Stoops
Charlie,Strong,Louisville,2010,7,6,10.9,28.6,19.1,Charlie Strong
Kevin,Sumlin,Houston,2010,5,7,-4.7,30.5,35.7,Kevin Sumlin
Dabo,Swinney,Clemson,2010,6,7,10.1,24.0,13.3,Dabo Swinney
Willie,Taggart,Western Kentucky,2010,2,10,-27.6,12.5,37.2,Willie Taggart
Jeff,Tedford,California,2010,5,7,10.0,28.0,17.4,Jeff Tedford
Bob,Toledo,Tulane,2010,4,8,-21.1,18.5,37.7,Bob Toledo
Jim,Tressel,Ohio State,2010,12,1,30.0,40.5,11.4,Jim Tressel
Tommy,Tuberville,Texas Tech,2010,8,5,7.4,34.2,26.9,Tommy Tuberville
DeWayne,Walker,New Mexico State,2010,2,10,-29.4,10.1,40.1,DeWayne Walker
Dave,Wannstedt,Pittsburgh,2010,7,5,11.3,29.7,18.7,Dave Wannstedt
Kyle,Whittingham,Utah,2010,10,3,12.2,31.8,20.1,Kyle Whittingham
Paul,Wulff,Washington State,2010,2,10,-7.4,27.0,35.3,Paul Wulff
Ron,Zook,Illinois,2010,7,6,8.6,30.2,22.4,Ron Zook
Steve,Addazio,Temple,2011,9,4,4.6,26.4,22.5,Steve Addazio
Gary,Andersen,Utah State,2011,7,6,-0.9,32.7,32.5,Gary Andersen
Chris,Ault,Nevada,2011,7,6,-0.4,30.4,28.7,Chris Ault
David,Bailiff,Rice,2011,4,8,-12.0,19.6,33.7,David Bailiff
George,Barlow,New Mexico,2011,1,7,-27.9,16.9,41.9,George Barlow
Frank,Beamer,Virginia Tech,2011,11,3,15.4,33.5,17.3,Frank Beamer
Todd,Berry,UL Monroe,2011,4,8,-15.7,17.4,30.2,Todd Berry
Bret,Bielema,Wisconsin,2011,11,3,26.1,45.9,21.2,Bret Bielema
