year,team,conference,wins,losses,games
2010,Kansas,Big 12,3,9,12
2010,Kansas State,Big 12,7,6,13
2010,Kent State,Mid-American,5,7,12
2010,Louisiana Tech,Western Athletic,5,7,12
2010,Miami,ACC,7,6,13
2010,Middle Tennessee,Sun Belt,6,7,13
2010,Navy,FBS Independents,9,4,13
2010,UL Monroe,Sun Belt,5,7,12
2010,UNLV,Mountain West,2,11,13
2010,Nevada,Western Athletic,13,1,14
2010,Northern Illinois,Mid-American,11,3,14
2010,Oregon,Pac-10,12,1,13
2010,Purdue,Big Ten,4,8,12
2010,SMU,Conference USA,7,7,14
2010,Southern Miss,Conference USA,8,5,13
2010,South Carolina,SEC,9,5,14
2010,TCU,Mountain West,13,0,13
2010,Tennessee,SEC,6,7,13
2010,UTEP,Conference USA,6,7,13
2010,Texas Tech,Big 12,8,5,13
2010,Toledo,Mid-American,8,5,13
2010,Troy,Sun Belt,8,5,13
2010,Tulane,Conference USA,4,8,12
2010,Western Michigan,Mid-American,6,6,12
2010,Wyoming,Mountain West,3,9,12
2011,Auburn,SEC,8,5,13
2011,UAB,Conference USA,3,9,12
2011,Arkansas,SEC,11,2,13
2011,Arizona State,Pac-12,6,7,13
2011,Arizona,Pac-12,4,8,12
2011,San Diego State,Mountain West,8,5,13
2011,San José State,Western Athletic,5,7,12
2011,Stanford,Pac-12,11,2,13
2011,California,Pac-12,7,6,13
2011,UCLA,Pac-12,6,8,14
2011,USC,Pac-12,10,2,12
2011,Colorado State,Mountain West,3,9,12
2011,Colorado,Pac-12,3,10,13
2011,UConn,Big East,5,7,12
2011,Florida State,ACC,9,4,13
2011,Florida,SEC,7,6,13
2011,South Florida,Big East,5,7,12
2011,Georgia Tech,ACC,8,5,13
2011,Georgia,SEC,10,4,14
2011,Hawai'i,Western Athletic,6,7,13
2011,Iowa State,Big 12,6,7,13
2011,Boise State,Mountain West,12,1,13
2011,Idaho,Western Athletic,2,10,12
2011,Northwestern,Big Ten,6,7,13
2011,Indiana,Big Ten,1,11,12
2011,Notre Dame,FBS Independents,8,5,13
2011,Kentucky,SEC,5,7,12
2011,Louisville,Big East,7,6,13
2011,Western Kentucky,Sun Belt,7,5,12
2011,LSU,SEC,13,1,14
2011,Boston College,ACC,4,8,12
2011,Maryland,ACC,2,10,12
2011,Michigan State,Big Ten,11,3,14
2011,Michigan,Big Ten,11,2,13
2011,Minnesota,Big Ten,3,9,12
2011,Missouri,Big 12,8,5,13
2011,Ole Miss,SEC,2,10,12
2011,Duke,ACC,3,9,12
2011,East Carolina,Conference USA,5,7,12
2011,NC State,ACC,8,5,13
2011,North Carolina,ACC,7,6,13
2011,Wake Forest,ACC,6,7,13
2011,Nebraska,Big Ten,9,4,13
2011,Rutgers,Big East,9,4,13
2011,New Mexico State,Western Athletic,4,9,13
2011,New Mexico,Mountain West,1,11,12
2011,Syracuse,Big East,5,7,12
2011,Bowling Green,Mid-American,5,7,12
2011,Miami (OH),Mid-American,4,8,12
2011,Ohio State,Big Ten,6,7,13
2011,Ohio,Mid-American,10,4,14
2011,Oklahoma State,Big 12,12,1,13
2011,Oklahoma,Big 12,10,3,13
2011,Tulsa,Conference USA,8,5,13
2011,Oregon State,Pac-12,3,9,12
2011,Penn State,Big Ten,9,4,13
2011,Temple,Mid-American,9,4,13
2011,Pittsburgh,Big East,6,7,13
2011,Clemson,ACC,10,4,14
2011,Memphis,Conference USA,2,10,12
2011,Vanderbilt,SEC,6,7,13
2011,Baylor,Big 12,10,3,13
2011,Rice,Conference USA,4,8,12
2011,Texas A&M,Big 12,7,6,13
2011,Houston,Conference USA,13,1,14
2011,North Texas,Sun Belt,5,7,12
2011,Texas,Big 12,8,5,13
2011,BYU,FBS Independents,10,3,13
2011,Utah,Pac-12,8,5,13
2011,Virginia,ACC,8,5,13
2011,Virginia Tech,ACC,11,3,14
2011,Washington,Pac-12,7,6,13
2011,Washington State,Pac-12,4,8,12
2011,Wisconsin,Big Ten,11,3,14
2011,Marshall,Conference USA,7,6,13
2011,West Virginia,Big East,10,3,13
2011,Fresno State,Western Athletic,4,9,13
2011,Louisiana,Sun Belt,9,4,13
2011,Utah State,Western Athletic,7,6,13
2011,Alabama,SEC,12,1,13
2011,Mississippi State,SEC,7,6,13
2011,Army,FBS Independents,3,9,12
2011,Illinois,Big Ten,7,6,13
2011,Air Force,Mountain West,7,6,13
2011,Akron,Mid-American,1,11,12
2011,Arkansas State,Sun Belt,10,3,13
2011,Ball State,Mid-American,6,6,12
2011,Buffalo,Mid-American,3,9,12
2011,UCF,Conference USA,5,7,12
2011,Central Michigan,Mid-American,3,9,12
2011,Cincinnati,Big East,10,3,13
2011,Eastern Michigan,Mid-American,6,6,12
2011,Florida Atlantic,Sun Belt,1,11,12
2011,Florida International,Sun Belt,8,5,13
2011,Iowa,Big Ten,7,6,13
2011,Kansas,Big 12,2,10,12
2011,Kansas State,Big 12,10,3,13
2011,Kent State,Mid-American,5,7,12
2011,Louisiana Tech,Western Athletic,8,5,13
2011,Miami,ACC,6,6,12
2011,Middle Tennessee,Sun Belt,2,10,12
2011,Navy,FBS Independents,5,7,12
2011,UL Monroe,Sun Belt,4,8,12
2011,UNLV,Mountain West,2,10,12
2011,Nevada,Western Athletic,7,6,13
2011,Northern Illinois,Mid-American,11,3,14
2011,Oregon,Pac-12,12,2,14
2011,Purdue,Big Ten,7,6,13
2011,SMU,Conference USA,8,5,13
2011,Southern Miss,Conference USA,12,2,14
2011,South Carolina,SEC,11,2,13
2011,TCU,Mountain West,11,2,13
2011,Tennessee,SEC,5,7,12
2011,UTEP,Conference USA,5,7,12
2011,Texas Tech,Big 12,5,7,12
2011,Toledo,Mid-American,9,4,13
2011,Troy,Sun Belt,3,9,12
2011,Tulane,Conference USA,2,11,13
2011,Western Michigan,Mid-American,7,6,13
2011,Wyoming,Mountain West,8,5,13
2012,Auburn,SEC,3,9,12
2012,UAB,Conference USA,3,9,12
2012,South Alabama,Sun Belt,2,11,13
2012,Arkansas,SEC,4,8,12
2012,Arizona State,Pac-12,8,5,13
2012,Arizona,Pac-12,8,5,13
2012,San Diego State,Mountain West,9,4,13
2012,San José State,Western Athletic,11,2,13
2012,Stanford,Pac-12,12,2,14
2012,California,Pac-12,3,9,12
2012,UCLA,Pac-12,9,5,14
2012,USC,Pac-12,7,6,13
2012,Colorado State,Mountain West,4,8,12
2012,Colorado,Pac-12,1,11,12
2012,UConn,Big East,5,7,12
2012,Florida State,ACC,12,2,14
2012,Florida,SEC,11,2,13
2012,South Florida,Big East,3,9,12
2012,Georgia Tech,ACC,7,7,14
2012,Georgia,SEC,12,2,14
2012,Hawai'i,Mountain West,3,9,12
2012,Iowa State,Big 12,6,7,13
2012,Boise State,Mountain West,11,2,13
2012,Idaho,Western Athletic,1,11,12
2012,Northwestern,Big Ten,10,3,13
2012,Indiana,Big Ten,4,8,12
2012,Notre Dame,FBS Independents,12,1,13
2012,Kentucky,SEC,2,10,12
2012,Louisville,Big East,11,2,13
2012,Western Kentucky,Sun Belt,7,6,13
2012,LSU,SEC,10,3,13
2012,Boston College,ACC,2,10,12
2012,Massachusetts,Mid-American,1,11,12
2012,Maryland,ACC,4,8,12
2012,Michigan State,Big Ten,7,6,13
2012,Michigan,Big Ten,8,5,13
2012,Minnesota,Big Ten,6,7,13
2012,Missouri,SEC,5,7,12
2012,Ole Miss,SEC,7,6,13
2012,Duke,ACC,6,7,13
2012,East Carolina,Conference USA,8,5,13
2012,NC State,ACC,7,6,13
2012,North Carolina,ACC,8,4,12
2012,Wake Forest,ACC,5,7,12
2012,Nebraska,Big Ten,10,4,14
2012,Rutgers,Big East,9,4,13
2012,New Mexico State,Western Athletic,1,11,12
2012,New Mexico,Mountain West,4,9,13
2012,Syracuse,Big East,8,5,13
2012,Bowling Green,Mid-American,8,5,13
2012,Miami (OH),Mid-American,4,8,12
2012,Ohio State,Big Ten,12,0,12
2012,Ohio,Mid-American,9,4,13
2012,Oklahoma State,Big 12,8,5,13
2012,Oklahoma,Big 12,10,3,13
2012,Tulsa,Conference USA,11,3,14
2012,Oregon State,Pac-12,9,4,13
2012,Penn State,Big Ten,8,4,12
2012,Temple,Big East,4,7,11
2012,Pittsburgh,Big East,6,7,13
2012,Clemson,ACC,11,2,13
2012,Memphis,Conference USA,4,8,12
2012,Vanderbilt,SEC,9,4,13
2012,Baylor,Big 12,8,5,13
2012,Rice,Conference USA,7,6,13
2012,Texas A&M,SEC,11,2,13
2012,Houston,Conference USA,5,7,12
2012,North Texas,Sun Belt,4,8,12
2012,Texas,Big 12,9,4,13
2012,BYU,FBS Independents,8,5,13
2012,Utah,Pac-12,5,7,12
2012,Virginia,ACC,4,8,12
2012,Virginia Tech,ACC,7,6,13
2012,Washington,Pac-12,7,6,13
2012,Washington State,Pac-12,3,9,12
2012,Wisconsin,Big Ten,8,6,14
2012,Marshall,Conference USA,5,7,12
2012,West Virginia,Big 12,7,6,13
2012,Fresno State,Mountain West,9,4,13
2012,Louisiana,Sun Belt,9,4,13
2012,Texas State,Western Athletic,4,8,12
2012,Utah State,Western Athletic,11,2,13
2012,Alabama,SEC,13,1,14
2012,Mississippi State,SEC,8,5,13
2012,Army,FBS Independents,2,10,12
2012,Illinois,Big Ten,2,10,12
2012,Air Force,Mountain West,6,7,13
2012,Akron,Mid-American,1,11,12
2012,Arkansas State,Sun Belt,10,3,13
2012,Ball State,Mid-American,9,4,13
2012,Buffalo,Mid-American,4,8,12
2012,UCF,Conference USA,10,4,14
2012,Central Michigan,Mid-American,7,6,13
2012,Cincinnati,Big East,10,3,13
2012,Eastern Michigan,Mid-American,2,10,12
2012,Florida Atlantic,Sun Belt,3,9,12
2012,Florida International,Sun Belt,3,9,12
2012,Iowa,Big Ten,4,8,12
2012,Kansas,Big 12,1,11,12
2012,Kansas State,Big 12,11,2,13
2012,Kent State,Mid-American,11,3,14
2012,Louisiana Tech,Western Athletic,9,3,12
2012,Miami,ACC,7,5,12
2012,Middle Tennessee,Sun Belt,8,4,12
2012,Navy,FBS Independents,8,5,13
2012,UL Monroe,Sun Belt,8,5,13
2012,UNLV,Mountain West,2,11,13
2012,Nevada,Mountain West,7,6,13
2012,Northern Illinois,Mid-American,12,2,14
2012,Oregon,Pac-12,12,1,13
2012,Purdue,Big Ten,6,7,13
2012,SMU,Conference USA,7,6,13
2012,Southern Miss,Conference USA,0,12,12
2012,South Carolina,SEC,11,2,13
2012,TCU,Big 12,7,6,13
2012,Tennessee,SEC,5,7,12
2012,UTSA,Western Athletic,8,4,12
2012,UTEP,Conference USA,3,9,12
2012,Texas Tech,Big 12,8,5,13
2012,Toledo,Mid-American,9,4,13
2012,Troy,Sun Belt,5,7,12
2012,Tulane,Conference USA,2,10,12
2012,Western Michigan,Mid-American,4,8,12
2012,Wyoming,Mountain West,4,8,12
2013,Auburn,SEC,12,2,14
2013,UAB,Conference USA,2,10,12
2013,South Alabama,Sun Belt,6,6,12
2013,Arkansas,SEC,3,9,12
2013,Arizona State,Pac-12,10,4,14
2013,Arizona,Pac-12,8,5,13
2013,San Diego State,Mountain West,8,5,13
2013,San José State,Mountain West,6,6,12
2013,Stanford,Pac-12,11,3,14
2013,California,Pac-12,1,11,12
2013,UCLA,Pac-12,10,3,13
2013,USC,Pac-12,10,4,14
2013,Colorado State,Mountain West,8,6,14
2013,Colorado,Pac-12,4,8,12
2013,UConn,American Athletic,3,9,12
2013,Florida State,ACC,14,0,14
2013,Florida,SEC,4,8,12
2013,South Florida,American Athletic,2,10,12
2013,Georgia Tech,ACC,7,6,13
2013,Georgia,SEC,8,5,13
2013,Hawai'i,Mountain West,1,11,12
2013,Iowa State,Big 12,3,9,12
2013,Boise State,Mountain West,8,5,13
2013,Idaho,FBS Independents,1,11,12
2013,Northwestern,Big Ten,5,7,12
2013,Indiana,Big Ten,5,7,12
2013,Notre Dame,FBS Independents,9,4,13
2013,Kentucky,SEC,2,10,12
2013,Louisville,American Athletic,12,1,13
2013,Western Kentucky,Sun Belt,8,4,12
2013,LSU,SEC,10,3,13
2013,Boston College,ACC,7,6,13
2013,Massachusetts,Mid-American,1,11,12
2013,Maryland,ACC,7,6,13
2013,Michigan State,Big Ten,13,1,14
2013,Michigan,Big Ten,7,6,13
2013,Minnesota,Big Ten,8,5,13
2013,Missouri,SEC,12,2,14
2013,Ole Miss,SEC,8,5,13
2013,Duke,ACC,10,4,14
2013,East Carolina,Conference USA,10,3,13
2013,NC State,ACC,3,9,12
2013,North Carolina,ACC,7,6,13
2013,Wake Forest,ACC,4,8,12
2013,Nebraska,Big Ten,9,4,13
2013,Rutgers,American Athletic,6,7,13
2013,New Mexico State,FBS Independents,2,10,12
2013,New Mexico,Mountain West,3,9,12
2013,Syracuse,ACC,7,6,13
2013,Bowling Green,Mid-American,10,4,14
2013,Miami (OH),Mid-American,0,12,12
2013,Ohio State,Big Ten,12,2,14
2013,Ohio,Mid-American,7,6,13
2013,Oklahoma State,Big 12,10,3,13
2013,Oklahoma,Big 12,11,2,13
2013,Tulsa,Conference USA,3,9,12
2013,Oregon State,Pac-12,7,6,13
2013,Penn State,Big Ten,7,5,12
2013,Temple,American Athletic,2,10,12
2013,Pittsburgh,ACC,7,6,13
2013,Clemson,ACC,11,2,13
2013,Memphis,American Athletic,3,9,12
2013,Vanderbilt,SEC,9,4,13
2013,Baylor,Big 12,11,2,13
2013,Rice,Conference USA,10,4,14
2013,Texas A&M,SEC,9,4,13
2013,Houston,American Athletic,8,5,13
2013,North Texas,Conference USA,9,4,13
2013,Texas,Big 12,8,5,13
2013,BYU,FBS Independents,8,5,13
2013,Utah,Pac-12,5,7,12
2013,Virginia,ACC,2,10,12
2013,Virginia Tech,ACC,8,5,13
2013,Washington,Pac-12,9,4,13
2013,Washington State,Pac-12,6,7,13
2013,Wisconsin,Big Ten,9,4,13
2013,Marshall,Conference USA,10,4,14
2013,West Virginia,Big 12,4,8,12
2013,Fresno State,Mountain West,11,2,13
2013,Louisiana,Sun Belt,9,4,13
2013,Texas State,Sun Belt,6,6,12
2013,Utah State,Mountain West,9,5,14
2013,Alabama,SEC,11,2,13
2013,Mississippi State,SEC,7,6,13
2013,Army,FBS Independents,3,9,12
2013,Illinois,Big Ten,4,8,12
2013,Air Force,Mountain West,2,10,12
2013,Akron,Mid-American,5,7,12
2013,Arkansas State,Sun Belt,8,5,13
2013,Ball State,Mid-American,10,3,13
2013,Buffalo,Mid-American,8,5,13
2013,UCF,American Athletic,12,1,13
2013,Central Michigan,Mid-American,6,6,12
2013,Cincinnati,American Athletic,9,4,13
2013,Eastern Michigan,Mid-American,2,10,12
2013,Florida Atlantic,Conference USA,6,6,12
2013,Florida International,Conference USA,1,11,12
2013,Georgia State,Sun Belt,0,12,12
2013,Iowa,Big Ten,8,5,13
2013,Kansas,Big 12,3,9,12
2013,Kansas State,Big 12,8,5,13
2013,Kent State,Mid-American,4,8,12
2013,Louisiana Tech,Conference USA,4,8,12
2013,Miami,ACC,9,4,13
2013,Middle Tennessee,Conference USA,8,5,13
2013,Navy,FBS Independents,9,4,13
2013,UL Monroe,Sun Belt,6,6,12
2013,UNLV,Mountain West,7,6,13
2013,Nevada,Mountain West,4,8,12
2013,Northern Illinois,Mid-American,12,2,14
2013,Oregon,Pac-12,11,2,13
2013,Purdue,Big Ten,1,11,12
2013,SMU,American Athletic,5,7,12
2013,Southern Miss,Conference USA,1,11,12
2013,South Carolina,SEC,11,2,13
2013,TCU,Big 12,4,8,12
2013,Tennessee,SEC,5,7,12
2013,UTSA,Conference USA,7,5,12
2013,UTEP,Conference USA,2,10,12
2013,Texas Tech,Big 12,8,5,13
2013,Toledo,Mid-American,7,5,12
2013,Troy,Sun Belt,6,6,12
2013,Tulane,Conference USA,7,6,13
2013,Western Michigan,Mid-American,1,11,12
2013,Wyoming,Mountain West,5,7,12
2014,Auburn,SEC,8,5,13
2014,UAB,Conference USA,6,6,12
2014,South Alabama,Sun Belt,6,7,13
2014,Arkansas,SEC,7,6,13
2014,Arizona State,Pac-12,10,3,13
2014,Arizona,Pac-12,10,4,14
2014,San Diego State,Mountain West,7,6,13
2014,San José State,Mountain West,3,9,12
2014,Stanford,Pac-12,8,5,13
2014,California,Pac-12,5,7,12
2014,UCLA,Pac-12,10,3,13
2014,USC,Pac-12,9,4,13
2014,Colorado State,Mountain West,10,3,13
2014,Colorado,Pac-12,2,10,12
2014,UConn,American Athletic,2,10,12
2014,Florida State,ACC,13,1,14
2014,Florida,SEC,7,5,12
2014,South Florida,American Athletic,4,8,12
2014,Georgia Tech,ACC,11,3,14
2014,Georgia,SEC,10,3,13
2014,Hawai'i,Mountain West,4,9,13
2014,Iowa State,Big 12,2,10,12
2014,Boise State,Mountain West,12,2,14
2014,Idaho,Sun Belt,1,10,11
2014,Northwestern,Big Ten,5,7,12
2014,Indiana,Big Ten,4,8,12
2014,Notre Dame,FBS Independents,8,5,13
2014,Kentucky,SEC,5,7,12
2014,Louisville,ACC,9,4,13
2014,Western Kentucky,Conference USA,8,5,13
2014,LSU,SEC,8,5,13
2014,Boston College,ACC,7,6,13
2014,Massachusetts,Mid-American,3,9,12
2014,Maryland,Big Ten,7,6,13
2014,Michigan State,Big Ten,11,2,13
2014,Michigan,Big Ten,5,7,12
2014,Minnesota,Big Ten,8,5,13
2014,Missouri,SEC,11,3,14
2014,Ole Miss,SEC,9,4,13
2014,Duke,ACC,9,4,13
2014,East Carolina,American Athletic,8,5,13
2014,NC State,ACC,8,5,13
2014,North Carolina,ACC,6,7,13
2014,Wake Forest,ACC,3,9,12
2014,Nebraska,Big Ten,9,4,13
2014,Rutgers,Big Ten,8,5,13
2014,New Mexico State,Sun Belt,2,10,12
2014,New Mexico,Mountain West,4,8,12
2014,Syracuse,ACC,3,9,12
2014,Bowling Green,Mid-American,8,6,14
2014,Miami (OH),Mid-American,2,10,12
2014,Ohio State,Big Ten,14,1,15
2014,Ohio,Mid-American,6,6,12
2014,Oklahoma State,Big 12,7,6,13
2014,Oklahoma,Big 12,8,5,13
2014,Tulsa,American Athletic,2,10,12
2014,Oregon State,Pac-12,5,7,12
2014,Penn State,Big Ten,7,6,13
2014,Temple,American Athletic,6,6,12
2014,Pittsburgh,ACC,6,7,13
2014,Clemson,ACC,10,3,13
2014,Memphis,American Athletic,10,3,13
2014,Vanderbilt,SEC,3,9,12
2014,Baylor,Big 12,11,2,13
2014,Rice,Conference USA,8,5,13
2014,Texas A&M,SEC,8,5,13
2014,Houston,American Athletic,8,5,13
2014,North Texas,Conference USA,4,8,12
2014,Texas,Big 12,6,7,13
2014,BYU,FBS Independents,8,5,13
2014,Utah,Pac-12,9,4,13
2014,Virginia,ACC,5,7,12
2014,Virginia Tech,ACC,7,6,13
2014,Washington,Pac-12,8,6,14
2014,Washington State,Pac-12,3,9,12
2014,Wisconsin,Big Ten,11,3,14
2014,Marshall,Conference USA,13,1,14
2014,West Virginia,Big 12,7,6,13
2014,Fresno State,Mountain West,6,8,14
2014,Georgia Southern,Sun Belt,9,3,12
2014,Old Dominion,Conference USA,6,6,12
2014,Louisiana,Sun Belt,9,4,13
2014,Texas State,Sun Belt,7,5,12
2014,Utah State,Mountain West,10,4,14
2014,Alabama,SEC,12,2,14
2014,Mississippi State,SEC,10,3,13
2014,Army,FBS Independents,4,8,12
2014,Illinois,Big Ten,6,7,13
2014,Air Force,Mountain West,10,3,13
2014,Akron,Mid-American,5,7,12
2014,App State,Sun Belt,7,5,12
2014,Arkansas State,Sun Belt,7,6,13
2014,Ball State,Mid-American,5,7,12
2014,Buffalo,Mid-American,5,6,11
2014,UCF,American Athletic,9,4,13
2014,Central Michigan,Mid-American,7,6,13
2014,Cincinnati,American Athletic,9,4,13
2014,Eastern Michigan,Mid-American,2,10,12
2014,Florida Atlantic,Conference USA,3,9,12
2014,Florida International,Conference USA,4,8,12
2014,Georgia State,Sun Belt,1,11,12
2014,Iowa,Big Ten,7,6,13
2014,Kansas,Big 12,3,9,12
2014,Kansas State,Big 12,9,4,13
2014,Kent State,Mid-American,2,9,11
2014,Louisiana Tech,Conference USA,9,5,14
2014,Miami,ACC,6,7,13
2014,Middle Tennessee,Conference USA,6,6,12
2014,Navy,FBS Independents,8,5,13
2014,UL Monroe,Sun Belt,4,8,12
2014,UNLV,Mountain West,2,11,13
2014,Nevada,Mountain West,7,6,13
2014,Northern Illinois,Mid-American,11,3,14
2014,Oregon,Pac-12,13,2,15
2014,Purdue,Big Ten,3,9,12
2014,SMU,American Athletic,1,11,12
2014,Southern Miss,Conference USA,3,9,12
2014,South Carolina,SEC,7,6,13
2014,TCU,Big 12,12,1,13
2014,Tennessee,SEC,7,6,13
2014,UTSA,Conference USA,4,8,12
2014,UTEP,Conference USA,7,6,13
2014,Texas Tech,Big 12,4,8,12
2014,Toledo,Mid-American,9,4,13
2014,Troy,Sun Belt,3,9,12
2014,Tulane,American Athletic,3,9,12
2014,Western Michigan,Mid-American,8,5,13
2014,Wyoming,Mountain West,4,8,12
2015,Auburn,SEC,7,6,13
2015,South Alabama,Sun Belt,5,7,12
2015,Arkansas,SEC,8,5,13
2015,Arizona State,Pac-12,6,7,13
2015,Arizona,Pac-12,7,6,13
2015,San Diego State,Mountain West,11,3,14
2015,San José State,Mountain West,6,7,13
2015,Stanford,Pac-12,12,2,14
2015,California,Pac-12,8,5,13
2015,UCLA,Pac-12,8,5,13
2015,USC,Pac-12,8,6,14
2015,Colorado State,Mountain West,7,6,13
2015,Colorado,Pac-12,4,9,13
2015,UConn,American Athletic,6,7,13
2015,Florida State,ACC,10,3,13
2015,Florida,SEC,10,4,14
2015,South Florida,American Athletic,8,5,13
2015,Georgia Tech,ACC,3,9,12
2015,Georgia,SEC,10,3,13
2015,Hawai'i,Mountain West,3,10,13
2015,Iowa State,Big 12,3,9,12
2015,Boise State,Mountain West,9,4,13
2015,Idaho,Sun Belt,4,8,12
2015,Northwestern,Big Ten,10,3,13
2015,Indiana,Big Ten,6,7,13
2015,Notre Dame,FBS Independents,10,3,13
2015,Kentucky,SEC,5,7,12
2015,Louisville,ACC,8,5,13
2015,Western Kentucky,Conference USA,12,2,14
2015,LSU,SEC,9,3,12
2015,Boston College,ACC,3,9,12
2015,Massachusetts,Mid-American,3,9,12
2015,Maryland,Big Ten,3,9,12
2015,Michigan State,Big Ten,12,2,14
2015,Michigan,Big Ten,10,3,13
2015,Minnesota,Big Ten,6,7,13
2015,Missouri,SEC,5,7,12
2015,Ole Miss,SEC,10,3,13
2015,Duke,ACC,8,5,13
2015,East Carolina,American Athletic,5,7,12
2015,NC State,ACC,7,6,13
2015,North Carolina,ACC,11,3,14
2015,Wake Forest,ACC,3,9,12
2015,Nebraska,Big Ten,6,7,13
2015,Rutgers,Big Ten,4,8,12
2015,New Mexico State,Sun Belt,3,9,12
2015,New Mexico,Mountain West,7,6,13
2015,Syracuse,ACC,4,8,12
2015,Bowling Green,Mid-American,10,4,14
2015,Miami (OH),Mid-American,3,9,12
2015,Ohio State,Big Ten,12,1,13
2015,Ohio,Mid-American,8,5,13
2015,Oklahoma State,Big 12,10,3,13
2015,Oklahoma,Big 12,11,2,13
2015,Tulsa,American Athletic,6,7,13
2015,Oregon State,Pac-12,2,10,12
2015,Penn State,Big Ten,7,6,13
2015,Temple,American Athletic,10,4,14
2015,Pittsburgh,ACC,8,5,13
2015,Clemson,ACC,14,1,15
2015,Memphis,American Athletic,9,4,13
2015,Vanderbilt,SEC,4,8,12
2015,Baylor,Big 12,10,3,13
2015,Rice,Conference USA,5,7,12
2015,Texas A&M,SEC,8,5,13
2015,Houston,American Athletic,13,1,14
2015,North Texas,Conference USA,1,11,12
2015,Texas,Big 12,5,7,12
2015,BYU,FBS Independents,9,4,13
2015,Utah,Pac-12,10,3,13
2015,Virginia,ACC,4,8,12
2015,Virginia Tech,ACC,7,6,13
2015,Washington,Pac-12,7,6,13
2015,Washington State,Pac-12,9,4,13
2015,Wisconsin,Big Ten,10,3,13
2015,Marshall,Conference USA,10,3,13
2015,West Virginia,Big 12,8,5,13
2015,Fresno State,Mountain West,3,9,12
2015,Georgia Southern,Sun Belt,9,4,13
2015,Old Dominion,Conference USA,5,7,12
2015,Louisiana,Sun Belt,4,8,12
2015,Texas State,Sun Belt,3,9,12
2015,Utah State,Mountain West,6,7,13
2015,Alabama,SEC,14,1,15
2015,Mississippi State,SEC,9,4,13
2015,Army,FBS Independents,2,10,12
2015,Illinois,Big Ten,5,7,12
2015,Air Force,Mountain West,8,6,14
2015,Akron,Mid-American,8,5,13
2015,App State,Sun Belt,11,2,13
2015,Arkansas State,Sun Belt,9,4,13
2015,Ball State,Mid-American,3,9,12
2015,Buffalo,Mid-American,5,7,12
2015,UCF,American Athletic,0,12,12
2015,Central Michigan,Mid-American,7,6,13
2015,Cincinnati,American Athletic,7,6,13
2015,Eastern Michigan,Mid-American,1,11,12
2015,Florida Atlantic,Conference USA,3,9,12
2015,Florida International,Conference USA,5,7,12
2015,Georgia State,Sun Belt,6,7,13
2015,Iowa,Big Ten,12,2,14
2015,Kansas,Big 12,0,12,12
2015,Kansas State,Big 12,6,7,13
2015,Kent State,Mid-American,3,9,12
2015,Louisiana Tech,Conference USA,9,4,13
2015,Miami,ACC,8,5,13
2015,Middle Tennessee,Conference USA,7,6,13
2015,Navy,American Athletic,11,2,13
2015,Charlotte,Conference USA,2,10,12
2015,UL Monroe,Sun Belt,2,11,13
2015,UNLV,Mountain West,3,9,12
2015,Nevada,Mountain West,7,6,13
2015,Northern Illinois,Mid-American,8,6,14
2015,Oregon,Pac-12,9,4,13
2015,Purdue,Big Ten,2,10,12
2015,SMU,American Athletic,2,10,12
2015,Southern Miss,Conference USA,9,5,14
2015,South Carolina,SEC,3,9,12
2015,TCU,Big 12,11,2,13
2015,Tennessee,SEC,9,4,13
2015,UTSA,Conference USA,3,9,12
2015,UTEP,Conference USA,5,7,12
2015,Texas Tech,Big 12,7,6,13
2015,Toledo,Mid-American,10,2,12
2015,Troy,Sun Belt,4,8,12
2015,Tulane,American Athletic,3,9,12
2015,Western Michigan,Mid-American,8,5,13
2015,Wyoming,Mountain West,2,10,12
2016,Auburn,SEC,8,5,13
2016,South Alabama,Sun Belt,6,7,13
2016,Arkansas,SEC,7,6,13
2016,Arizona State,Pac-12,5,7,12
2016,Arizona,Pac-12,3,9,12
2016,San Diego State,Mountain West,11,3,14
2016,San José State,Mountain West,4,8,12
2016,Stanford,Pac-12,10,3,13
2016,California,Pac-12,5,7,12
2016,UCLA,Pac-12,4,8,12
2016,USC,Pac-12,10,3,13
2016,Colorado State,Mountain West,7,6,13
2016,Colorado,Pac-12,10,4,14
2016,UConn,American Athletic,3,9,12
2016,Florida State,ACC,10,3,13
2016,Florida,SEC,9,4,13
2016,South Florida,American Athletic,11,2,13
2016,Georgia Tech,ACC,9,4,13
2016,Georgia,SEC,8,5,13
2016,Hawai'i,Mountain West,7,7,14
2016,Iowa State,Big 12,3,9,12
2016,Boise State,Mountain West,10,3,13
2016,Idaho,Sun Belt,9,4,13
2016,Northwestern,Big Ten,7,6,13
2016,Indiana,Big Ten,6,7,13
2016,Notre Dame,FBS Independents,4,8,12
2016,Kentucky,SEC,7,6,13
2016,Louisville,ACC,9,4,13
2016,Western Kentucky,Conference USA,11,3,14
2016,LSU,SEC,8,4,12
2016,Boston College,ACC,7,6,13
2016,Massachusetts,FBS Independents,2,10,12
2016,Maryland,Big Ten,6,7,13
2016,Michigan State,Big Ten,3,9,12
2016,Michigan,Big Ten,10,3,13
2016,Minnesota,Big Ten,9,4,13
2016,Missouri,SEC,4,8,12
2016,Ole Miss,SEC,5,7,12
2016,Duke,ACC,4,8,12
2016,East Carolina,American Athletic,3,9,12
2016,NC State,ACC,7,6,13
2016,North Carolina,ACC,8,5,13
2016,Wake Forest,ACC,7,6,13
