year,team,conference,wins,losses,games
2006,Iowa State,Big 12,4,8,12
2006,Boise State,Western Athletic,13,0,13
2006,Idaho,Western Athletic,4,8,12
2006,Northwestern,Big Ten,4,8,12
2006,Indiana,Big Ten,5,7,12
2006,Notre Dame,FBS Independents,10,3,13
2006,Kentucky,SEC,8,5,13
2006,Louisville,Big East,12,1,13
2006,LSU,SEC,11,2,13
2006,Boston College,ACC,10,3,13
2006,Maryland,ACC,9,4,13
2006,Michigan State,Big Ten,4,8,12
2006,Michigan,Big Ten,11,2,13
2006,Minnesota,Big Ten,6,7,13
2006,Missouri,Big 12,8,5,13
2006,Ole Miss,SEC,4,8,12
2006,Duke,ACC,0,12,12
2006,East Carolina,Conference USA,7,6,13
2006,NC State,ACC,3,9,12
2006,North Carolina,ACC,3,9,12
2006,Wake Forest,ACC,11,3,14
2006,Nebraska,Big 12,9,5,14
2006,Rutgers,Big East,11,2,13
2006,New Mexico State,Western Athletic,4,8,12
2006,New Mexico,Mountain West,6,7,13
2006,Syracuse,Big East,4,8,12
2006,Bowling Green,Mid-American,4,8,12
2006,Miami (OH),Mid-American,2,10,12
2006,Ohio State,Big Ten,12,1,13
2006,Ohio,Mid-American,9,5,14
2006,Oklahoma State,Big 12,7,6,13
2006,Oklahoma,Big 12,11,3,14
2006,Tulsa,Conference USA,8,5,13
2006,Oregon State,Pac-10,10,4,14
2006,Penn State,Big Ten,9,4,13
2006,Temple,FBS Independents,1,11,12
2006,Pittsburgh,Big East,6,6,12
2006,Clemson,ACC,8,5,13
2006,Memphis,Conference USA,2,10,12
2006,Vanderbilt,SEC,4,8,12
2006,Baylor,Big 12,4,8,12
2006,Rice,Conference USA,7,6,13
2006,Texas A&M,Big 12,9,4,13
2006,Houston,Conference USA,10,4,14
2006,North Texas,Sun Belt,3,9,12
2006,Texas,Big 12,10,3,13
2006,BYU,Mountain West,11,2,13
2006,Utah,Mountain West,8,5,13
2006,Virginia,ACC,5,7,12
2006,Virginia Tech,ACC,10,3,13
2006,Washington,Pac-10,5,7,12
2006,Washington State,Pac-10,6,6,12
2006,Wisconsin,Big Ten,12,1,13
2006,Marshall,Conference USA,5,7,12
2006,West Virginia,Big East,11,2,13
2006,Fresno State,Western Athletic,4,8,12
2006,Louisiana,Sun Belt,6,6,12
2006,Utah State,Western Athletic,1,11,12
2006,Alabama,SEC,6,7,13
2006,Mississippi State,SEC,3,9,12
2006,Army,FBS Independents,3,9,12
2006,Illinois,Big Ten,2,10,12
2006,Air Force,Mountain West,4,8,12
2006,Akron,Mid-American,5,7,12
2006,Arkansas State,Sun Belt,6,6,12
2006,Ball State,Mid-American,5,7,12
2006,Buffalo,Mid-American,2,10,12
2006,UCF,Conference USA,4,8,12
2006,Central Michigan,Mid-American,10,4,14
2006,Cincinnati,Big East,8,5,13
2006,Eastern Michigan,Mid-American,1,11,12
2006,Florida Atlantic,Sun Belt,5,7,12
2006,Florida International,Sun Belt,0,12,12
2006,Iowa,Big Ten,6,7,13
2006,Kansas,Big 12,6,6,12
2006,Kansas State,Big 12,7,6,13
2006,Kent State,Mid-American,6,6,12
2006,Louisiana Tech,Western Athletic,3,10,13
2006,Miami,ACC,7,6,13
2006,Middle Tennessee,Sun Belt,7,6,13
2006,Navy,FBS Independents,9,4,13
2006,UL Monroe,Sun Belt,4,8,12
2006,UNLV,Mountain West,2,10,12
2006,Nevada,Western Athletic,8,5,13
2006,Northern Illinois,Mid-American,7,6,13
2006,Oregon,Pac-10,7,6,13
2006,Purdue,Big Ten,8,6,14
2006,SMU,Conference USA,6,6,12
2006,Southern Miss,Conference USA,9,5,14
2006,South Carolina,SEC,8,5,13
2006,TCU,Mountain West,11,2,13
2006,Tennessee,SEC,9,4,13
2006,UTEP,Conference USA,5,7,12
2006,Texas Tech,Big 12,8,5,13
2006,Toledo,Mid-American,5,7,12
2006,Troy,Sun Belt,8,5,13
2006,Tulane,Conference USA,4,8,12
2006,Western Michigan,Mid-American,8,5,13
2006,Wyoming,Mountain West,6,6,12
2007,Auburn,SEC,9,4,13
2007,UAB,Conference USA,2,10,12
2007,Arkansas,SEC,8,5,13
2007,Arizona State,Pac-10,10,3,13
2007,Arizona,Pac-10,5,7,12
2007,San Diego State,Mountain West,4,8,12
2007,San José State,Western Athletic,5,7,12
2007,Stanford,Pac-10,4,8,12
2007,California,Pac-10,7,6,13
2007,UCLA,Pac-10,6,7,13
2007,USC,Pac-10,11,2,13
2007,Colorado State,Mountain West,3,9,12
2007,Colorado,Big 12,6,7,13
2007,UConn,Big East,9,4,13
2007,Florida State,ACC,7,6,13
2007,Florida,SEC,9,4,13
2007,South Florida,Big East,9,4,13
2007,Georgia Tech,ACC,7,6,13
2007,Georgia,SEC,11,2,13
2007,Hawai'i,Western Athletic,12,1,13
2007,Iowa State,Big 12,3,9,12
2007,Boise State,Western Athletic,10,3,13
2007,Idaho,Western Athletic,1,11,12
2007,Northwestern,Big Ten,6,6,12
2007,Indiana,Big Ten,7,6,13
