year,team,rec_rank,rec_points,draft_picks_total,draft_score_total,first_round_total,draft_years_covered,complete_window,expected_draft_score,development_residual,sp_rating,sp_ranking,conference,wins,losses,games,coach_name,coach_sp_overall,win_pct
2005,Louisville,36,176.69,7,23,1,3,True,22.33841964494227,0.6615803550577297,20.3,12.0,ACC,9.0,3.0,12.0,Bobby Petrino,20.3,0.75
2005,West Virginia,37,172.44,7,15,0,3,True,21.582684535172483,-6.582684535172483,15.8,21.0,Big 12,11.0,1.0,12.0,Rich Rodriguez,15.8,0.9166666666666666
2005,Texas Tech,38,172.32,5,20,1,3,True,21.561346132073105,-1.5613461320731048,25.4,7.0,Big 12,9.0,3.0,12.0,Mike Leach,25.4,0.75
2005,Notre Dame,39,166.05,9,30,0,3,True,20.446414570130383,9.553585429869614,21.8,9.0,FBS Independents,9.0,3.0,12.0,Charlie Weis,21.8,0.75
2005,Colorado,40,165.97,3,11,0,3,True,20.432188968064132,-9.432188968064132,11.7,29.0,Big 12,7.0,6.0,13.0,Gary Barnett,11.7,0.5384615384615384
2005,Kansas,41,164.63,7,20,1,3,True,20.19391013345436,-0.1939101334543593,8.5,38.0,Big 12,7.0,5.0,12.0,Mark Mangino,8.5,0.5833333333333334
2005,Missouri,42,164.44,9,39,3,3,True,20.16012432854701,18.83987567145299,5.7,49.0,SEC,7.0,5.0,12.0,Gary Pinkel,5.7,0.5833333333333334
2005,Washington State,43,162.68,2,2,0,3,True,19.847161083089404,-17.847161083089404,13.0,22.0,Pac-12,4.0,7.0,11.0,Bill Doba,13.0,0.36363636363636365
2005,San Diego State,44,160.86,5,8,0,3,True,19.523528636082105,-11.523528636082103,-2.4,72.0,Pac-12,5.0,7.0,12.0,Tom Craft,-2.4,0.4166666666666667
2005,Oregon State,45,159.77,10,23,0,3,True,19.32970480792939,3.6702951920706113,1.5,59.0,Pac-12,5.0,6.0,11.0,Mike Riley,1.5,0.45454545454545453
2005,Pittsburgh,46,158.2,9,22,1,3,True,19.050527367379132,2.949472632620868,6.8,44.0,ACC,5.0,6.0,11.0,Dave Wannstedt,6.8,0.45454545454545453
2005,Oklahoma State,47,157.39,5,24,3,3,True,18.906493146458303,5.093506853541697,1.1,64.0,Big 12,4.0,7.0,11.0,Mike Gundy,1.1,0.36363636363636365
2005,Illinois,48,156.4,7,28,2,3,True,18.73045132088841,9.269548679111594,-8.8,89.0,Big Ten,2.0,9.0,11.0,Ron Zook,-8.8,0.18181818181818182
2005,North Carolina,49,153.2,9,33,2,3,True,18.16142723823821,14.838572761761789,-3.5,77.0,ACC,5.0,6.0,11.0,John Bunting,-3.5,0.45454545454545453
2005,TCU,50,152.76,8,20,1,3,True,18.08318642687381,1.9168135731261913,10.5,33.0,Big 12,11.0,1.0,12.0,Gary Patterson,10.5,0.9166666666666666
2005,Iowa State,51,151.53,3,4,0,3,True,17.864467795105142,-13.864467795105142,13.0,22.0,Big 12,7.0,5.0,12.0,Dan McCarney,13.0,0.5833333333333334
2005,Boston College,52,146.65,6,29,3,3,True,16.996706069063606,12.003293930936394,19.2,15.0,ACC,9.0,3.0,12.0,Tom O'Brien,19.2,0.75
2005,Minnesota,53,142.28,3,7,0,3,True,16.219632556194433,-9.219632556194432,15.9,20.0,Big Ten,7.0,5.0,12.0,Glen Mason,15.9,0.5833333333333334
2005,Northwestern,54,141.34,3,8,0,3,True,16.05248173191594,-8.05248173191594,8.0,39.0,Big Ten,7.0,5.0,12.0,Randy Walker,8.0,0.5833333333333334
2005,Duke,55,140.17,0,0,0,3,True,15.844432301696964,-15.844432301696964,-20.2,108.0,ACC,1.0,10.0,11.0,Ted Roof,-20.2,0.09090909090909091
2005,South Florida,56,130.19,8,31,2,3,True,14.06978844393168,16.930211556068322,2.3,56.0,American Athletic,6.0,6.0,12.0,Jim Leavitt,2.3,0.5
2005,Utah,57,128.26,10,29,0,3,True,13.726595794083282,15.273404205916718,7.2,42.0,Big 12,7.0,5.0,12.0,Kyle Whittingham,7.2,0.5833333333333334
2005,Tulsa,58,126.2,1,1,0,3,True,13.360286540877224,-12.360286540877224,1.5,59.0,American Athletic,9.0,4.0,13.0,Steve Kragthorpe,1.5,0.6923076923076923
2005,Rutgers,59,125.44,10,35,3,3,True,13.225143321247804,21.774856678752194,4.0,53.0,Big Ten,7.0,5.0,12.0,Greg Schiano,4.0,0.5833333333333334
2005,Baylor,60,125.15,3,12,1,3,True,13.173575513757632,-1.1735755137576316,1.2,63.0,Big 12,5.0,6.0,11.0,Guy Morriss,1.2,0.45454545454545453
2005,BYU,61,123.25,4,10,0,3,True,12.83571746468408,-2.8357174646840786,2.8,54.0,Big 12,6.0,6.0,12.0,Bronco Mendenhall,2.8,0.5
2005,Boise State,62,122.57,3,16,2,3,True,12.714799847120911,3.285200152879087,4.5,52.0,Pac-12,9.0,4.0,13.0,Dan Hawkins,4.5,0.6923076923076923
2005,SMU,63,122.19,2,6,0,3,True,12.647228237306203,-6.647228237306203,-13.0,95.0,ACC,5.0,6.0,11.0,Phil Bennett,-13.0,0.45454545454545453
2005,Syracuse,64,122.04,4,9,0,3,True,12.620555233431975,-3.6205552334319777,-10.7,92.0,ACC,1.0,10.0,11.0,Greg Robinson,-10.7,0.09090909090909091
2005,Wake Forest,65,119.7,9,30,1,3,True,12.204456372994024,17.795543627005976,-3.9,79.0,ACC,4.0,7.0,11.0,Jim Grobe,-3.9,0.36363636363636365
2005,Southern Miss,66,117.82,3,7,0,3,True,11.870154724437038,-4.870154724437038,1.1,64.0,Sun Belt,7.0,5.0,12.0,Jeff Bower,1.1,0.5833333333333334
2005,UCF,67,115.27,5,15,0,3,True,11.416713658575167,3.5832863414248326,-11.7,93.0,Big 12,8.0,5.0,13.0,George O'Leary,-11.7,0.6153846153846154
2005,Washington,68,114.56,2,8,0,3,True,11.290461440237156,-3.2904614402371575,1.9,58.0,Big Ten,2.0,9.0,11.0,Tyrone Willingham,1.9,0.18181818181818182
2005,UConn,69,114.29,8,30,1,3,True,11.242450033263546,18.757549966736455,1.4,62.0,FBS Independents,5.0,6.0,11.0,Randy Edsall,1.4,0.45454545454545453
2005,Georgia Tech,70,114.18,11,34,2,3,True,11.222889830422448,22.77711016957755,6.9,43.0,ACC,7.0,5.0,12.0,Chan Gailey,6.9,0.5833333333333334
2005,UTEP,71,112.64,3,9,0,3,True,10.949046990647044,-1.949046990647043,2.4,55.0,Mountain West,8.0,4.0,12.0,Mike Price,2.4,0.6666666666666666
2005,Hawai'i,72,112.61,4,11,0,3,True,10.943712389872196,0.0562876101278053,-2.9,73.0,Mountain West,5.0,7.0,12.0,June Jones,-2.9,0.4166666666666667
2005,UAB,73,110.09,1,1,0,3,True,10.495605924785169,-9.495605924785169,2.3,56.0,American Athletic,5.0,6.0,11.0,Watson Brown,2.3,0.45454545454545453
2005,Ohio State,74,109.84,14,47,3,3,True,10.451150918328125,36.548849081671875,31.2,3.0,Big Ten,10.0,2.0,12.0,Jim Tressel,31.2,0.8333333333333334
2005,Marshall,75,106.85,0,0,0,3,True,9.91946904110185,-9.91946904110185,-9.4,90.0,Sun Belt,4.0,7.0,11.0,Mark Snyder,-9.4,0.36363636363636365
2005,UNLV,76,104.85,3,8,0,3,True,9.56382898944548,-1.563828989445481,-15.3,98.0,Mountain West,2.0,9.0,11.0,Mike Sanford Sr.,-15.3,0.18181818181818182
2005,Northern Illinois,77,103.92,1,7,1,3,True,9.39845636542527,-2.39845636542527,5.9,48.0,Mountain West,7.0,5.0,12.0,Joe Novak,5.9,0.5833333333333334
2005,Indiana,78,103.16,5,17,0,3,True,9.26331314579585,7.73668685420415,-4.7,83.0,Big Ten,4.0,7.0,11.0,Terry Hoeppner,-4.7,0.36363636363636365
2005,Houston,79,102.37,3,11,0,3,True,9.122835325391586,1.877164674608414,-1.0,70.0,Big 12,6.0,6.0,12.0,Art Briles,-1.0,0.5
2005,Fresno State,80,100.59,4,11,1,3,True,8.806315679417414,2.1936843205825856,10.6,31.0,Pac-12,8.0,5.0,13.0,Pat Hill,10.6,0.6153846153846154
2005,Western Michigan,81,95.69,2,6,0,3,True,7.934997552859309,-1.9349975528593095,-13.9,96.0,Mid-American,7.0,4.0,11.0,Bill Cubit,-13.9,0.6363636363636364
2005,Louisiana,82,94.87,1,2,0,3,True,7.789185131680201,-5.789185131680201,-17.7,104.0,Sun Belt,6.0,5.0,11.0,Rickey Bustle,-17.7,0.5454545454545454
2005,Memphis,83,94.57,1,1,0,3,True,7.735839123931742,-6.735839123931742,-3.4,75.0,American Athletic,7.0,5.0,12.0,Tommy West,-3.4,0.5833333333333334
2005,Colorado State,84,94.42,2,4,0,3,True,7.709166120057516,-3.709166120057516,-2.9,73.0,Pac-12,6.0,6.0,12.0,Sonny Lubick,-2.9,0.5
2005,Cincinnati,85,93.59,11,19,0,3,True,7.561575498620124,11.438424501379876,-9.9,91.0,Big 12,4.0,7.0,11.0,Mark Dantonio,-9.9,0.36363636363636365
2005,Middle Tennessee,86,92.75,2,2,0,3,True,7.412206676924447,-5.412206676924447,-15.3,98.0,Conference USA,4.0,7.0,11.0,Andy McCollum,-15.3,0.36363636363636365
2005,New Mexico,87,91.3,4,8,0,3,True,7.154367639473579,0.8456323605264213,0.2,68.0,Mountain West,6.0,5.0,11.0,Rocky Long,0.2,0.5454545454545454
2005,Akron,88,88.92,1,3,0,3,True,6.7311559780025,-3.7311559780025,-5.8,84.0,Mid-American,7.0,6.0,13.0,J.D. Brookhart,-5.8,0.5384615384615384
2005,Vanderbilt,89,88.91,6,21,1,3,True,6.729377777744217,14.270622222255785,-3.8,78.0,SEC,5.0,6.0,11.0,Bobby Johnson,-3.8,0.45454545454545453
2005,Troy,90,86.53,5,16,1,3,True,6.30616611627314,9.69383388372686,-17.2,103.0,Sun Belt,4.0,7.0,11.0,Larry Blakeney,-17.2,0.36363636363636365
2005,Louisiana Tech,91,85.65,2,5,0,3,True,6.149684493544337,-1.1496844935443369,-6.0,85.0,Conference USA,7.0,4.0,11.0,Jack Bicknell,-6.0,0.6363636363636364
2005,Nevada,92,83.33,1,1,0,3,True,5.737142033622948,-4.737142033622948,-6.5,86.0,Mountain West,9.0,3.0,12.0,Chris Ault,-6.5,0.75
2005,Tulane,93,82.95,2,8,0,3,True,5.6695704238082385,2.3304295761917615,-17.1,102.0,American Athletic,2.0,9.0,11.0,Chris Scelfo,-17.1,0.18181818181818182
2005,Rice,94,81.71,2,4,0,3,True,5.449073591781287,-1.4490735917812874,-21.6,110.0,American Athletic,1.0,10.0,11.0,Ken Hatfield,-21.6,0.09090909090909091
2005,Bowling Green,95,77.41,1,3,0,3,True,4.6844474807200935,-1.6844474807200935,-0.9,69.0,Mid-American,6.0,5.0,11.0,Gregg Brandon,-0.9,0.5454545454545454
2005,Buffalo,96,75.75,3,3,0,3,True,4.389266237845307,-1.3892662378453071,-28.6,115.0,Mid-American,1.0,10.0,11.0,Jim Hofher,-28.6,0.09090909090909091
2005,Idaho,97,72.1,3,9,1,3,True,3.740223143572433,5.2597768564275675,,,,2.0,9.0,11.0,Nick Holt,,0.18181818181818182
2005,North Texas,98,72.06,0,0,0,3,True,3.733110342539307,-3.733110342539307,-29.2,117.0,American Athletic,2.0,9.0,11.0,Darrell Dickey,-29.2,0.18181818181818182
2005,Miami (OH),99,70.84,1,1,0,3,True,3.5161699110289213,-2.5161699110289213,0.3,67.0,Mid-American,7.0,4.0,11.0,Shane Montgomery,0.3,0.6363636363636364
2005,Ball State,100,70.61,2,6,0,3,True,3.475271305088439,2.524728694911561,-18.5,105.0,Mid-American,4.0,7.0,11.0,Brady Hoke,-18.5,0.36363636363636365
2005,Toledo,101,70.41,2,5,0,3,True,3.4397072999228016,1.5602927000771984,7.6,40.0,Mid-American,9.0,3.0,12.0,Tom Amstutz,7.6,0.75
2005,Ohio,102,68.71,3,10,0,3,True,3.137413256014886,6.862586743985114,-20.8,109.0,Mid-American,4.0,7.0,11.0,Frank Solich,-20.8,0.36363636363636365
2005,Kent State,103,65.23,3,5,0,3,True,2.5185995661328064,2.4814004338671936,-19.0,107.0,Mid-American,1.0,10.0,11.0,Doug Martin,-19.0,0.09090909090909091
2005,Central Michigan,104,64.54,2,2,0,3,True,2.3959037483113583,-0.3959037483113583,-8.1,88.0,Mid-American,6.0,5.0,11.0,Brian Kelly,-8.1,0.5454545454545454
2005,Arkansas State,105,61.04,3,10,0,3,True,1.7735336579127114,8.226466342087289,-15.6,100.0,Sun Belt,6.0,6.0,12.0,Steve Roberts,-15.6,0.5
2005,Wyoming,106,58.87,0,0,0,3,True,1.387664201865551,-1.387664201865551,-4.0,80.0,Mountain West,4.0,7.0,11.0,Joe Glenn,-4.0,0.36363636363636365
2005,UL Monroe,107,55.67,0,0,0,3,True,0.8186401192153596,-0.8186401192153596,-22.6,111.0,Sun Belt,5.0,6.0,11.0,Charlie Weatherbie,-22.6,0.45454545454545453
2005,Temple,108,53.0,1,4,0,3,True,0.3438606502541059,3.656139349745894,-29.1,116.0,American Athletic,0.0,11.0,11.0,Bobby Wallace,-29.1,0.0
2005,East Carolina,109,47.3,5,16,1,3,True,-0.6697134969665459,16.669713496966544,-4.6,82.0,American Athletic,5.0,6.0,11.0,Skip Holtz,-4.6,0.45454545454545453
2005,San José State,110,44.52,4,12,0,3,True,-1.1640531687688993,13.164053168768898,-14.7,97.0,Mountain West,3.0,8.0,11.0,Dick Tomey,-14.7,0.2727272727272727
2005,Utah State,111,41.79,2,4,0,3,True,-1.6495018392798435,5.649501839279844,-23.9,113.0,Pac-12,3.0,8.0,11.0,Brent Guy,-23.9,0.2727272727272727
2005,Air Force,112,41.08,0,0,0,3,True,-1.7757540576178554,1.7757540576178554,-3.4,75.0,Mountain West,4.0,7.0,11.0,Fisher DeBerry,-3.4,0.36363636363636365
2005,Navy,113,29.17,0,0,0,3,True,-3.893590565231534,3.893590565231534,-2.1,71.0,American Athletic,8.0,4.0,12.0,Paul Johnson,-2.1,0.6666666666666666
2005,Florida Atlantic,114,28.65,1,1,0,3,True,-3.986056978662191,4.986056978662191,-24.9,114.0,American Athletic,2.0,9.0,11.0,Howard Schnellenberger,-24.9,0.18181818181818182
2005,Eastern Michigan,115,28.36,2,8,0,3,True,-4.037624786152364,12.037624786152364,-18.5,105.0,Mid-American,4.0,7.0,11.0,Jeff Genyk,-18.5,0.36363636363636365
2005,Florida International,116,26.01,0,0,0,3,True,-4.455501846848597,4.455501846848597,-23.5,112.0,Conference USA,5.0,6.0,11.0,Don Strock,-23.5,0.45454545454545453
2005,New Mexico State,117,19.8,0,0,0,3,True,-5.559764207241624,5.559764207241624,-29.2,117.0,Conference USA,0.0,12.0,12.0,Hal Mumme,-29.2,0.0
2005,Army,118,8.82,1,1,0,3,True,-7.512228090835093,8.512228090835093,-16.3,101.0,American Athletic,4.0,7.0,11.0,Bobby Ross,-16.3,0.36363636363636365
2006,USC,1,316.97,27,93,4,3,True,47.283012868120025,45.716987131879975,30.3,2.0,Big Ten,11.0,2.0,13.0,Pete Carroll,30.3,0.8461538461538461
2006,Florida,2,294.83,16,72,5,3,True,43.346077496284,28.653922503715997,26.5,5.0,SEC,13.0,1.0,14.0,Urban Meyer,26.5,0.9285714285714286
2006,Georgia,3,292.15,17,61,3,3,True,42.86951982706447,18.130480172935528,17.8,19.0,SEC,9.0,4.0,13.0,Mark Richt,17.8,0.6923076923076923
2006,Florida State,4,286.53,7,27,2,3,True,41.870171281910075,-14.870171281910077,11.9,36.0,ACC,7.0,6.0,13.0,Bobby Bowden,11.9,0.5384615384615384
2006,Notre Dame,5,282.8,6,20,0,3,True,41.20690258557095,-21.20690258557095,11.5,37.0,FBS Independents,10.0,3.0,13.0,Charlie Weis,11.5,0.7692307692307693
2006,Texas,6,281.78,14,57,2,3,True,41.02552615922619,15.974473840773804,21.9,9.0,SEC,10.0,3.0,13.0,Mack Brown,21.9,0.7692307692307693
2006,Penn State,7,270.41,13,45,2,3,True,39.003712465559744,5.996287534440256,12.7,34.0,Big Ten,9.0,4.0,13.0,Joe Paterno,12.7,0.6923076923076923
2006,LSU,8,269.92,18,54,2,3,True,38.91658065290393,15.083419347096068,31.6,1.0,SEC,11.0,2.0,13.0,Les Miles,31.6,0.8461538461538461
2006,Oklahoma,9,262.96,16,58,4,3,True,37.67895327313976,20.32104672686024,23.5,7.0,SEC,11.0,3.0,14.0,Bob Stoops,23.5,0.7857142857142857
2006,Michigan,10,256.69,7,20,1,3,True,36.56402171119704,-16.564021711197043,22.6,8.0,Big Ten,11.0,2.0,13.0,Lloyd Carr,22.6,0.8461538461538461
2006,Auburn,11,245.54,9,35,2,3,True,34.58132842321279,0.4186715767872115,19.4,13.0,SEC,11.0,2.0,13.0,Tommy Tuberville,19.4,0.8461538461538461
2006,Miami,12,237.13,13,39,0,3,True,33.085862005997754,5.914137994002246,13.9,28.0,ACC,7.0,6.0,13.0,Larry Coker,13.9,0.5384615384615384
2006,Alabama,13,233.66,16,78,7,3,True,32.46882651637395,45.53117348362605,11.4,38.0,SEC,6.0,7.0,13.0,Mike Shula,11.4,0.46153846153846156
2006,Clemson,14,232.26,15,45,1,3,True,32.21987848021449,12.78012151978551,16.7,22.0,ACC,8.0,5.0,13.0,Tommy Bowden,16.7,0.6153846153846154
2006,Ole Miss,15,231.94,9,32,2,3,True,32.16297607194947,-0.1629760719494726,-3.2,72.0,SEC,4.0,8.0,12.0,Ed Orgeron,-3.2,0.3333333333333333
2006,Pittsburgh,16,229.68,11,28,1,3,True,31.76110281357778,-3.761102813577778,14.4,26.0,ACC,6.0,6.0,12.0,Dave Wannstedt,14.4,0.5
2006,Texas A&M,17,215.25,4,14,1,3,True,29.195159840877075,-15.195159840877077,10.1,42.0,SEC,9.0,4.0,13.0,Dennis Franchione,10.1,0.6923076923076923
2006,Oklahoma State,18,213.74,6,27,3,3,True,28.926651601876515,-1.9266516018765143,13.7,29.0,Big 12,7.0,6.0,13.0,Mike Gundy,13.7,0.5384615384615384
